label_key,label_ar,category,mode,source_rows,examples,word_model_eligible_examples,training_count,validation_count,test_count,supported_status,exclusion_reason,quality_excluded_examples
,,Diverse,WORD_ISOLATED,15,0,0,0,0,0,INVALID,invalid_or_empty_normalized_label,15
0,0,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
1,1,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
10,10,Numbers,WORD_ISOLATED,4,4,4,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
100,100,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
1000,1000,Numbers,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
10000,10000,Numbers,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
100000,100000,Numbers,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
1000000,1000000,Numbers,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
11,11,Numbers,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
12,12,Numbers,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
13,13,Numbers,WORD_ISOLATED,4,4,4,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
14,14,Numbers,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
15,15,Numbers,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
16,16,Numbers,WORD_ISOLATED,6,6,6,4,1,1,SUPPORTED_FOR_TRAINING,,0
17,17,Numbers,WORD_ISOLATED,6,6,6,4,1,1,SUPPORTED_FOR_TRAINING,,0
18,18,Numbers,WORD_ISOLATED,6,6,6,4,1,1,SUPPORTED_FOR_TRAINING,,0
19,19,Numbers,WORD_ISOLATED,6,6,6,4,1,1,SUPPORTED_FOR_TRAINING,,0
2,2,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
20,20,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
21,21,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
22,22,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
23,23,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
24,24,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
25,25,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
26,26,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
27,27,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
28,28,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
29,29,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
3,3,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
30,30,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
31,31,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
32,32,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
33,33,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
34,34,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
35,35,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
36,36,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
37,37,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
38,38,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
39,39,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
4,4,Numbers,WORD_ISOLATED,1,0,0,0,0,0,EXCLUDED_FOR_QUALITY,ambiguous_duplicate_checksum_labels,1
40,40,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
5,5,Numbers,WORD_ISOLATED,1,0,0,0,0,0,EXCLUDED_FOR_QUALITY,ambiguous_duplicate_checksum_labels,1
50,50,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
6,6,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
60,60,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
7,7,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
70,70,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
8,8,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
80,80,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
9,9,Numbers,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
90,90,Numbers,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ء,ء,Letters,ALPHABET_STATIC,3,3,0,0,0,0,INSUFFICIENT_SAMPLES,separate_ALPHABET_STATIC_task_not_in_word_model,0
ا,آ,Letters,ALPHABET_STATIC,8,0,0,0,0,0,EXCLUDED_FOR_QUALITY,ambiguous_label_key_multiple_arabic_displays,8
اب,أَبٌ,Diverse,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
ابتسم,اِبْتَسَمَ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابجدية,أَبْجَدِيَّةٌ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابدا,أَبَدًا,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابراهيم_عليه_السلام,إِبْرَاهِيمُ عَلَيْهِ السَّلاَمُ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابرة,إِبْرَةٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابريق,إِبْرِيقٌ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابريل,أَبْرِيل,Days_Months_Seasons,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابط,إِبْطٌ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابن,اِبْنٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابن_العم,اِبْنُ الْعَمِّ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابهام,إِبْهَامٌ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
ابيض,أَبْيَضُ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتجاه,اِتِّجَاهٌ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتحاد,اِتِّحَادٌ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتصل,اِتَّصَلَ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتفق,اِتَّفَقَ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتهم,اِتَّهَمَ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اتوبيس,أُتُوبِيسٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اثاث,أَثَاثٌ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اثناء,أَثْنَاءَ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اثنان,اِثْنَانِ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجاز,أَجَازَ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجاص,إِجَّاصٌ,Diverse,WORD_ISOLATED,1,1,1,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجتماع,اِجْتِمَاعٌ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجداد,أَجْدَادٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجرة,أُجْرَةٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجل,أَجَّلَ,Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجماع,إِجْمَاعٌ,Diverse,WORD_ISOLATED,2,2,2,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجنبي,أَجْنَبِي,Diverse,WORD_ISOLATED,4,4,4,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
اجهش_بالبكاء,أَجْهَشَ (بِالْبُكَاءِ),Diverse,WORD_ISOLATED,3,3,3,0,0,0,INSUFFICIENT_SAMPLES,fewer_than_5_independent_usable_examples,0
احب,أَحَبَّ,Diverse,WORD_ISOLATED,5,5,5,3,1,1,SUPPORTED_FOR_TRAINING,,0
